"latitud","longitud"
-38.02,-54.07
-37.92,-54.08
-37.92,-54.15
-37.87,-53.97
-37.93,-54.08
-37.9,-54.18
-37.87,-53.83
-37.93,-54.05
-37.87,-54.03
-37.88,-53.85
-37.9,-54.2
-37.88,-53.97
-37.87,-54.22
-37.92,-54.18
-37.88,-53.92
-37.88,-53.98
-37.93,-54.18
-37.85,-53.93
-37.85,-53.92
-37.83,-54
-37.9,-54.2
-37.88,-53.97
-37.85,-54
-37.9,-54.2
-37.87,-53.88
-37.85,-53.87
-37.85,-54.05
-37.85,-54.07
-37.83,-53.98
-37.83,-53.88
-37.83,-53.8
-37.83,-54.05
-37.85,-53.93
-37.83,-54.03
-37.88,-54.08
-37.88,-54.13
-37.9,-54.18
-37.88,-54.18
-37.87,-54.2
-37.85,-53.9
-37.85,-53.95
-37.53,-53.58
-37.52,-53.57
-37.85,-54.05
-37.62,-53.67
-37.52,-53.57
-37.53,-53.58
-37.55,-53.65
-37.55,-53.67
-36.53,-52.95
-36.55,-52.97
-36.52,-52.95
-36.52,-52.93
-36.53,-52.92
-36.35,-52.85
-36.37,-52.85
-36.52,-52.93
-36.35,-52.85
-36.52,-52.95
-36.52,-52.95
-36.37,-52.85
-36.5,-52.95
-36.35,-52.85
-36.52,-52.93
-36.5,-52.97
-38.02,-54.1
-39.96,-57.3
-39.88,-57.14
-39.8,-56.97
-38.22,-54.45
-37.93,-54.07
-37.83,-54.07
-39.95,-57.31
-39.87,-57.13
-39.78,-56.98
-38.2,-54.47
-37.93,-54.08
-37.85,-53.93
-37.85,-53.97
-39.77,-56.99
-39.92,-57.05
-39.75,-57
-37.85,-54.12
-37.83,-54.13
-39.89,-57.05
-36.52,-52.95
-36.33,-52.83
-36.28,-52.77
-36.38,-52.83
-36.4,-52.82
-39.89,-57.07
-39.99,-57.13
-39.82,-55.72
-39.8,-55.72
-39.8,-55.73
-39.78,-55.75
-39.87,-57.11
-39.73,-57.05
-39.82,-55.72
-39.82,-55.73
-39.88,-55.2
-39.88,-55.17
-39.83,-55.02
-39.82,-54.93
-39.82,-54.9
-39.73,-54.88
-39.83,-54.88
-39.67,-57.05
-39.81,-57.11
-39.95,-57.16
-37.13,-53.48
-37.07,-53.45
-39.93,-57.18
-39.77,-57.12
-37.05,-53.47
-37.05,-53.4
-37.12,-53.43
-37.1,-53.5
-37.05,-53.37
-37.1,-53.3
-39.95,-57.15
-39.88,-56.98
-37,-53.32
-36.98,-53.33
-36.97,-53.33
-36.95,-53.33
-36.93,-53.35
-37.25,-53.32
-37.25,-53.35
-39.96,-57.16
-39.9,-56.98
-37.13,-53.53
-37.18,-53.43
-37.25,-53.27
-37.22,-53.33
-39.98,-57.17
-39.92,-56.99
-37.18,-53.43
-37.23,-53.32
-37.25,-53.33
-39.99,-57.15
-39.93,-56.97
-38.68,-54.02
-38.68,-54.02
-38.68,-54.1
-38.75,-54.02
-38.82,-54.07
-39.94,-56.97
-39.47,-54.6
-39.6,-54.7
-39.6,-54.83
-39.62,-54.77
-39.97,-56.97
-39.3,-54.87
-39.32,-54.87
-39.35,-54.83
-39.6,-54.7
-39.33,-54.85
-39.33,-54.83
-39.35,-54.82
-39.99,-57
-36.4,-52.87
-36.37,-52.73
-36.4,-52.9
-36.32,-52.78
-36.22,-52.83
-36.23,-52.8
-36.4,-52.85
-36.4,-52.87
-36.43,-52.8
-36.1,-52.62
-36.1,-52.58
-36.03,-52.7
-36,-52.73
-36,-52.6
-35.48,-52.08
-35.48,-52.1
-39.42,-57.15
-39.4,-54.5
-39.3,-54.5
-38,-54.07
-37.95,-54.07
-38,-53.98
-38,-53.97
-38,-53.98
-38,-53.97
-38,-53.93
-38.05,-53.88
-38.02,-53.92
-38.03,-53.92
-38.07,-53.83
-38.07,-53.83
-37.98,-54
-37.98,-54.02
-37.93,-54.13
-37.87,-54.02
-37.93,-54.05
-37.6,-53.7
-37.55,-53.58
-37.6,-53.65
-36.38,-52.87
-36.38,-52.83
-36.32,-52.78
-36.32,-52.77
-37.17,-53.33
-37.17,-53.32
-37.23,-53.37
-37.23,-53.37
-37.85,-54
-37.98,-54.08
-37.88,-54.07
-38.17,-54.43
-38.12,-54.38
-38.2,-54.43
-36.66,-53.28
-36.65,-53.35
-37.89,-54.19
-38,-54.11
-38.01,-54.04
-38.01,-54.02
-38.68,-57.28
-39.66,-57.46
-39.98,-57.25
-39.55,-54.81
-39.99,-57.24
-39.79,-56.62
-39.95,-57.26
-39.82,-57.1
-39.72,-56.72
-39.7,-56.72
-39.68,-56.69
-39.36,-56.43
-39.82,-55.75
-39.82,-55.72
-39.8,-55.71
-39.62,-55.51
-39.61,-55.37
-39.62,-55.36
-39.64,-56.6
-39.63,-55.33
-39.58,-55.44
-39.57,-55.57
-39.51,-55.46
-39.61,-55.48
-39.58,-55.44
-39.69,-55.59
-39.63,-56.48
-38.01,-54.06
-37.86,-54.05
-37.86,-54.04
